0, none
1, none
2, none
3, none
4, none
5, none
6, none
7, none
8, none
9, none
10, none
11, none
12, none
13, none
14, none
15, none
16, none
17, none
18, none
19, none
20, none
21, none
22, none
23, none
24, none
25, none
26, none
27, none
28, none
29, none
30, none
31, none
32, none
33, none
34, none
35, none
36, none
37, none
38, none
39, none
40, none
41, none
42, none
43, none
44, none
45, none
46, none
47, none
48, none
49, none
50, none
51, none
52, none
53, none
54, none
55, none
56, none
57, none
58, none
59, none
60, none
61, none
62, none
63, none
64, none
65, none
66, none
67, none
68, none
69, none
70, none
71, none
72, none
73, none
74, none
75, none
76, none
77, none
78, none
79, none
80, none
81, none
82, none
83, none
84, none
85, none
86, none
87, none
88, none
89, none
90, none
91, none
92, none
93, none
94, none
95, none
96, none
97, none
98, none
99, none
100, none
101, none
102, none
103, none
104, none
105, none
106, none
107, none
108, none
109, none
110, none
111, none
112, none
113, none
114, none
115, none
116, none
117, none
118, none
119, none
120, none
121, none
122, none
123, none
124, none
125, none
126, none
127, none
128, none
129, none
130, none
131, none
132, none
133, none
134, none
135, none
136, none
137, none
138, none
139, none
140, none
141, none
142, none
143, none
144, none
145, none
146, none
147, none
148, none
149, none
150, none
151, none
152, none
153, none
154, none
155, none
156, none
157, none
158, none
159, none
160, none
161, none
162, none
163, none
164, none
165, none
166, none
167, none
168, none
169, none
170, none
171, none
172, none
173, none
174, none
175, none
176, none
177, none
178, none
179, none
180, none
181, none
182, none
183, none
184, none
185, none
186, none
187, none
188, none
189, none
190, none
191, none
192, none
193, none
194, none
195, none
196, none
197, none
198, none
199, none
200, none
201, none
202, none
203, none
204, none
205, none
206, none
207, none
208, none
209, none
210, none
211, none
212, none
213, none
214, none
215, none
216, none
217, none
218, none
219, none
220, none
221, none
222, none
223, none
224, none
225, none
226, none
227, none
228, none
229, none
230, none
231, none
232, none
233, none
234, none
235, none
236, none
237, none
238, none
239, none
240, none
241, none
242, none
243, none
244, none
245, none
246, none
247, none
248, none
249, none
250, none
251, none
252, none
253, none
254, none
255, none
256, none
257, none
258, none
259, none
260, none
261, none
262, none
263, none
264, none
265, none
266, none
267, none
268, none
269, none
270, none
271, none
272, none
273, none
274, none
275, none
276, none
277, none
278, none
279, none
280, none
281, none
282, none
283, none
284, none
285, none
286, none
287, none
288, none
289, none
290, none
291, none
292, none
293, none
294, none
295, none
296, none
297, none
298, none
299, none
300, none
301, none
302, none
303, none
304, none
305, none
306, none
307, none
308, none
309, none
310, none
311, none
312, none
313, none
314, none
315, none
316, none
317, none
318, none
319, none
320, none
321, none
322, none
323, none
324, none
325, none
326, none
327, none
328, lower_ob
329, lower_ob
330, lower_ob
331, lower_ob
332, lower_ob
333, lower_ob
334, lower_ob
335, lower_ob
336, lower_ob
337, lower_ob
338, lower_ob
339, lower_ob
340, lower_ob
341, lower_ob
342, upper_ob
343, upper_ob
344, upper_ob
345, upper_ob
346, upper_ob
347, upper_ob
348, upper_ob
349, upper_ob
350, upper_ob
351, upper_ob
352, upper_ob
353, upper_ob
354, upper_ob
355, upper_ob
356, upper_ob
357, upper_ob
358, upper_ob
359, upper_ob
360, upper_ob
361, upper_ob
362, upper_ob
363, upper_ob
364, upper_ob
365, upper_ob
366, upper_ob
367, upper_ob
368, upper_ob
369, upper_ob
370, upper_ob
371, upper_ob
372, upper_ob
373, upper_ob
374, upper_ob
375, upper_ob
376, upper_ob
377, upper_ob
378, upper_ob
379, upper_ob
380, upper_ob
381, upper_ob
382, upper_ob
383, upper_ob
384, upper_ob
385, upper_ob
386, upper_ob
387, upper_ob
388, upper_ob
389, upper_ob
390, upper_ob
391, upper_ob
392, upper_ob
393, upper_ob
394, upper_ob
395, upper_ob
396, upper_ob
397, upper_ob
398, upper_ob
399, none
400, none
401, none
402, none
403, none
404, none
405, none
406, resting
407, resting
408, resting
409, resting
410, resting
411, resting
412, resting
413, resting
414, resting
415, resting
416, resting
417, resting
418, resting
419, resting
420, resting
421, resting
422, resting
423, resting
424, resting
425, resting
426, resting
427, resting
428, resting
429, resting
430, resting
431, resting
432, resting
433, resting
434, resting
435, resting
436, resting
437, resting
438, resting
439, resting
440, resting
441, resting
442, resting
443, resting
444, resting
445, resting
446, resting
447, resting
448, resting
449, resting
450, resting
451, resting
452, resting
453, resting
454, resting
455, resting
456, resting
457, resting
458, resting
459, resting
460, resting
461, resting
462, resting
463, resting
464, resting
465, resting
466, resting
467, resting
468, resting
469, resting
470, none
471, none
472, none
473, none
474, none
475, none
476, none
477, none
478, none
479, none
480, none
481, none
482, none
483, none
484, none
485, none
486, none
487, none
488, none
489, none
490, none
491, none
492, none
493, none
494, none
495, none
496, none
497, none
498, none
499, none
500, none
501, none
502, none
503, none
504, none
505, none
506, none
507, none
508, none
509, none
510, none
511, none
512, none
513, none
514, none
515, none
516, none
517, none
518, none
519, none
520, none
521, none
522, none
523, none
524, none
525, none
526, none
527, none
528, none
529, none
530, upper_ob
531, upper_ob
532, upper_ob
533, upper_ob
534, upper_ob
535, upper_ob
536, upper_ob
537, upper_ob
538, upper_ob
539, upper_ob
540, upper_ob
541, upper_ob
542, upper_ob
543, upper_ob
544, upper_ob
