behavior,behavior_id,animal_id,group_id,phase
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 standing,1,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 None,2,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
 lower_ob,3,F1a.10,young,sample
